C:\Python27\python.exe J:/github_repos/HDAnalysis/HDAnalysis.py
ESubject                Freq  Process                  Path                                             Method    Subject
206-181-1998             834  etcdWatch                /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
232-194-181-1998           9  etcdWatch                /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.etcdGetInitialWatchState, 232', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 194', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
138-34-227-440-403       307  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/apiserver.(*namedCreaterAdapter).Create, 440', '/pkg/apiserver.createHandler.func1.1, 403', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-717-953       207  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-95-717        207  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/persistentvolumeclaim/etcd.(*StatusREST).Update, 95', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-293-205-187       12  kube-apiserver           /%UUID%/persistentvolumes                        GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        9  kube-apiserver           /%UUID%/persistentvolumes                        GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/registry/generic/registry.(*Store).DeleteCollection, 695', '/pkg/apiserver.DeleteCollection.func1.2, 905', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/persistentvolumes                        GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998            3624  etcdWatch                /%UUID%/persistentvolumes                        GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
232-194-181-1998           9  etcdWatch                /%UUID%/persistentvolumes                        GET       ['/pkg/storage/etcd.etcdGetInitialWatchState, 232', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 194', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
209-35-671-799-953       101  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
209-35-671-745-1998      208  generic                  /%UUID%/persistentvolumes/%NAME%                 DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/registry/generic/registry.(*Store).DeleteCollection.func2, 745', 'runtime.goexit, 1998']
277-194-35-671-799       101  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-194-35-671-745       208  generic                  /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/registry/generic/registry.(*Store).DeleteCollection.func2, 745', 'runtime.goexit, 1998']
277-261-36-623-799       101  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Delete, 623', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-36-623-745       208  generic                  /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Delete, 623', '/pkg/registry/generic/registry.(*Store).DeleteCollection.func2, 745', 'runtime.goexit, 1998']
277-261-36-431-146       515  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/apiserver.GetResource.func1, 146', '/pkg/apiserver.getResourceHandler.func1, 110', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-470-38-388-717       109  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-470-38-388-95        524  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/persistentvolume/etcd.(*StatusREST).Update, 95', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
138-34-227-440-403       309  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/apiserver.(*namedCreaterAdapter).Create, 440', '/pkg/apiserver.createHandler.func1.1, 403', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-717-953       108  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-95-717        522  kube-apiserver           /%UUID%/persistentvolumes/%NAME%                 PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/persistentvolume/etcd.(*StatusREST).Update, 95', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/petsets                                  GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998              71  etcdWatch                /%UUID%/petsets                                  GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/poddisruptionbudgets                     GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998              71  etcdWatch                /%UUID%/poddisruptionbudgets                     GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
441-416-293-205-187        1  kube-apiserver           /%UUID%/pods                                     GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        5  kube-apiserver           /%UUID%/pods                                     GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        2  kube-apiserver           /%UUID%/pods                                     GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 481', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/pods                                     GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998            1532  etcdWatch                /%UUID%/pods                                     GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
209-35-671-799-953        85  kube-apiserver           /%UUID%/pods/%NAME%                              DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-194-35-671-799        85  kube-apiserver           /%UUID%/pods/%NAME%                              GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
